title,city,location,sales,construction,website,contact_phone,building_class,number_of_buildings,number_of_sections,number_of_floors,construction_technology,walls,insulation,heating,ceiling_height,number_of_apartments,apartment_condition,closed_territory,parking,price,price_details
ЖК На Щасливому,Рівне,вул. Щаслива / вул. Чорновола,Продажі відкриті,"32 будинки збудовано, 31/32 введено в експлуатацію",happy.rv.ua,tel:+380362670273,комфорт,33,,4-9,цегляна,цегла,пінополістирол (пінопласт),індивідуальне (в квартирі),2.85 м (від підлоги до стелі),2254,з чорновим ремонтом,від авто та сторонніх,"гостьовий, гаражні бокси",25 250 — 31 950,"{'1-кімнатні': {'square': '40 — 52 м²', 'from_price': '1.28 млн грн', 'per_sq_m': '29 050 — 31 950 грн/м²'}, '2-кімнатні': {'square': '62 — 72 м²', 'from_price': '1.8 млн грн', 'per_sq_m': '27 950 — 29 950 грн/м²'}, '3-кімнатні': {'square': '82 — 92 м²', 'from_price': '2.21 млн грн', 'per_sq_m': '25 250 — 26 900 грн/м²'}, 'Комори': {'square': '5 — 20 м²', 'from_price': '48 тис. грн', 'per_sq_m': '9 700 грн/м²'}}"
ЖК Олімп,Рівне,"вул. Павлюченка, 16б",Продажі відкриті,"Збудовано, введено в експлуатацію",olimp.rv.ua,tel:+380504861237,комфорт,1,4,9,монолітно-каркасна,цегла,пінополістирол (пінопласт),індивідуальне (в квартирі),2.75 м (від підлоги до стелі),162,з чорновим ремонтом,від автомобілів,гостьовий (30 паркомісць),25 150,"{'1-кімнатні': {'square': '47 — 52 м²', 'from_price': '1.18 млн грн', 'per_sq_m': '25 150 грн/м²'}, '2-кімнатні': {'square': '67.7 м²', 'from_price': '1.7 млн грн', 'per_sq_m': '25 150 грн/м²'}, 'Комерція': {'square': '74 — 150 м²', 'from_price': '2.29 млн грн', 'per_sq_m': '30 950 грн/м²'}, 'Комори': {'square': '2 — 5 м²', 'from_price': '25 тис. грн', 'per_sq_m': '16 850 грн/м²'}}"
Pokrovsky Apart Complex,Рівне,"вул. Орлова, 2",Продажі відкриті,Будується,pokrovsky.renome.ua,tel:+380362670486,бізнес,3,,"8- 9, 12",монолітно-каркасна,"цегла, керамоблок","мінеральна вата, пінополістирол (пінопласт)",автономне (в будинку),2.7 м (від підлоги до стелі),116 (1 будинок),під ремонт,від авто та сторонніх,підземний з ліфтом,35 250 — 48 400,"{'1-кімнатні': {'square': '34 — 64 м²', 'from_price': '1.75 млн грн', 'per_sq_m': '35 250 — 48 400 грн/м²'}, '2-кімнатні': {'square': '56 — 90 м²', 'from_price': '2.49 млн грн', 'per_sq_m': '38 700 — 46 450 грн/м²'}, '3-кімнатні': {'square': '77 — 104 м²', 'from_price': '3.51 млн грн', 'per_sq_m': '45 300 — 48 400 грн/м²'}, '': {'square': '', 'from_price': '', 'per_sq_m': ''}}"
Клубний будинок „Васильченка“,Рівне,"вул. Васильченка, 26",Продажі відкриті,"Збудовано, введено в експлуатацію",buildyrivne.com.ua,tel:+380362670746,комфорт,1,2,4,монолітно-каркасна,керамоблок,мінеральна вата,індивідуальне (в квартирі),2.8-3.3 м (від підлоги до стелі),39,під ремонт,від авто та сторонніх,"гостьовий, гаражні бокси",30 600 — 37 950,"{'1-кімнатні': {'square': '32 — 51 м²', 'from_price': '1.22 млн грн', 'per_sq_m': '32 900 — 37 950 грн/м²'}, '2-кімнатні': {'square': '59 — 70 м²', 'from_price': '1.94 млн грн', 'per_sq_m': '30 600 — 35 600 грн/м²'}}"
ЖБК Буковинська 20А,Рівне,"вул. Буковинська, 20а",Продажі відкриті,Будується,bykovinska20a.rv.ua,tel:+380362670514,комфорт,1,,3,цегляна,цегла,"пінополістирол (пінопласт), мінеральна вата",індивідуальне (в квартирі),2.7 м (від підлоги до стелі),18,під ремонт,від авто та сторонніх,"гостьовий (15 паркомісць), гаражні бокси (8 паркомісць)",40 650 — 42 600,"{'1-кімнатні': {'square': '44 — 53 м²', 'from_price': '1.78 млн грн', 'per_sq_m': '40 650 — 42 600 грн/м²'}, '2-кімнатні': {'square': '55 — 64 м²', 'from_price': '2.25 млн грн', 'per_sq_m': '40 650 — 42 600 грн/м²'}, 'Комори': {'square': '3.5 м²', 'from_price': '47 тис. грн', 'per_sq_m': '13 550 грн/м²'}, 'Паркінги': {'square': '20.5 м²', 'from_price': '581 тис. грн', 'per_sq_m': '28 300 грн/м²'}}"
ЖК ЗиґЗаґ,Рівне,вул. Біла,Продажі відкриті,Підготовчі роботи,grupasmart.com.ua,tel:+380362670243,комфорт,1,6,"9, 14",цегляна,"цегла, газоблок (газобетон)",мінеральна вата,автономне (в будинку),2.7 м (від підлоги до стелі),199 (в двох секціях),під ремонт,ні,наземний багаторівневий,24 750 — 27 850,"{'1-кімнатні': {'square': '36 — 42 м²', 'from_price': '963 тис. грн', 'per_sq_m': '27 100 — 27 850 грн/м²'}, '2-кімнатні': {'square': '48 — 65 м²', 'from_price': '1.32 млн грн', 'per_sq_m': '25 550 — 27 100 грн/м²'}, '3-кімнатні': {'square': '73 — 76 м²', 'from_price': '1.81 млн грн', 'per_sq_m': '24 750 грн/м²'}, 'Комори': {'square': '3 — 5 м²', 'from_price': '46 тис. грн', 'per_sq_m': '15 500 грн/м²'}}"
ЖК CENTRAL CITY Apartments,Рівне,"вул. Замкова, 34а",Продажі відкриті,"1 будинок збудовано, не введено в експлуатацію",stograd.ua,tel:+380362670460,комфорт,5,,9,цегляна,"газоблок (газобетон), цегла",пінополістирол (пінопласт),автономне (в будинку),2.75 м (від підлоги до стелі),183 (1-2 будинок),з чорновим ремонтом,ні,"гостьовий (53 паркомісця), підземний (245 паркомісць)",34 850 — 42 200,"{'1-кімнатні': {'square': '29 — 50 м²', 'from_price': '1.07 млн грн', 'per_sq_m': '36 400 — 42 200 грн/м²'}, '2-кімнатні': {'square': '56 — 68 м²', 'from_price': '1.95 млн грн', 'per_sq_m': '34 850 — 38 300 грн/м²'}, '3-кімнатні': {'square': '71 — 98 м²', 'from_price': '2.72 млн грн', 'per_sq_m': '34 850 — 38 300 грн/м²'}, 'Комори': {'square': '4 м²', 'from_price': '116 тис. грн', 'per_sq_m': '29 050 грн/м²'}, 'Паркінги': {'square': '14 — 98 м²', 'from_price': '387 тис. грн', 'per_sq_m': '17 400 — 27 450 грн/м²'}, '': {'square': '', 'from_price': '', 'per_sq_m': ''}}"
ЖК Синергія Light,Рівне,"вул. Соборна, 289",Продажі відкриті,Будується,snr.grupasmart.com.ua,tel:+380362670461,економ,1,7,"10, 12",монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),2.8 м (від підлоги до стелі),600,"без ремонту, з ремонтом",ні,наземний багаторівневий,24 750 — 27 600,"{'1-кімнатні': {'square': '33 — 43 м²', 'from_price': '910 тис. грн', 'per_sq_m': '26 300 — 27 600 грн/м²'}, '2-кімнатні': {'square': '47 — 62 м²', 'from_price': '1.17 млн грн', 'per_sq_m': '24 750 грн/м²'}, '3-кімнатні': {'square': None, 'from_price': None, 'per_sq_m': None}, 'Комори': {'square': '2 — 5 м²', 'from_price': '46 тис. грн', 'per_sq_m': '15 500 — 22 050 грн/м²'}, '': {'square': '', 'from_price': '', 'per_sq_m': ''}}"
МЖК Сім'я,Рівне,"вул. Марфи Струтинської, 13б",Продажі відкриті,Будується,mzhk.com.ua,tel:+380362670277,комфорт,1,12,11,цегляна,цегла,пінополістирол (пінопласт),автономне (в будинку),2.7 м (від підлоги до стелі),438,під ремонт,від авто та сторонніх,гостьовий,25 150 — 27 100,"{'1-кімнатні': {'square': '40 — 52 м²', 'from_price': '1.08 млн грн', 'per_sq_m': '27 100 грн/м²'}, '2-кімнатні': {'square': '65 — 80 м²', 'from_price': '1.76 млн грн', 'per_sq_m': '27 100 грн/м²'}, '3-кімнатні': {'square': '74 — 100 м²', 'from_price': '1.86 млн грн', 'per_sq_m': '25 150 грн/м²'}, 'Паркінги': {'square': '18 — 40 м²', 'from_price': '488 тис. грн', 'per_sq_m': '27 100 грн/м²'}, '': {'square': '', 'from_price': '', 'per_sq_m': ''}}"
ЖК Шоколад,Рівне,"вул. Соборна, 285",Продажі відкриті,"2 будинки збудовано, введені в експлуатацію",grupasmart.com.ua,tel:+380362670468,комфорт,3,,11-12,цегляна,цегла,мінеральна вата,індивідуальне (в квартирі),2.75 м (від підлоги до стелі),622,з чорновим ремонтом,ні,наземний багаторівневий,21 450 — 25 850,"{'1-кімнатні': {'square': '48 — 56 м²', 'from_price': '1.13 млн грн', 'per_sq_m': '23 050 — 25 850 грн/м²'}, '2-кімнатні': {'square': '71.5 м²', 'from_price': '1.53 млн грн', 'per_sq_m': '21 450 грн/м²'}, 'Комори': {'square': None, 'from_price': None, 'per_sq_m': None}}"
ЖК Галицький,Рівне,"вул. Данила Галицького, 25",Продажі відкриті,Підготовчі роботи,stograd.ua,tel:+380362670511,бізнес,1,5,8-9,"цегляна, монолітно-каркасна",цегла,"мінеральна вата, пінополістирол (пінопласт)",індивідуальне (в квартирі),2.75-5 м (від підлоги до стелі),207,з чорновим ремонтом,ні,гостьовий,27 850 — 30 600,"{'1-кімнатні': {'square': '37 — 61 м²', 'from_price': '1.05 млн грн', 'per_sq_m': '28 650 — 30 600 грн/м²'}, '2-кімнатні': {'square': '61 — 89 м²', 'from_price': '1.71 млн грн', 'per_sq_m': '27 850 — 29 050 грн/м²'}, 'Комори': {'square': '4 м²', 'from_price': '19 тис. грн', 'per_sq_m': '4 850 — 36 750 грн/м²'}}"
ЖК PANORAMA DE LUXE,Рівне,"вул. Різдвяна, 2",Продажі відкриті,"8 будинків збудовано, 7/8 введено в експлуатацію",lakeland.rv.ua,tel:+380362670240,бізнес,10,,7,цегляна,залізобетон,пінополістирол (пінопласт),автономне (в будинку),3 м (від підлоги до стелі),330 (1-9 будинки),під ремонт,від авто та сторонніх,гостьовий,28 650 — 33 500,"{'1-кімнатні': {'square': '37 — 55 м²', 'from_price': '1.22 млн грн', 'per_sq_m': '28 650 — 33 500 грн/м²'}, '2-кімнатні': {'square': '67 — 68 м²', 'from_price': '1.96 млн грн', 'per_sq_m': '28 900 — 33 000 грн/м²'}, '3-кімнатні': {'square': None, 'from_price': None, 'per_sq_m': None}, 'Комерція': {'square': '76.5 м²', 'from_price': '1.75 млн грн', 'per_sq_m': '22 850 грн/м²'}, 'Комори': {'square': '3 — 5 м²', 'from_price': '19 тис. грн', 'per_sq_m': '7 750 грн/м²'}, '': {'square': '', 'from_price': '', 'per_sq_m': ''}}"
